candidate_id,hidden_layers,l2_lambda,dropout_rates,learning_rate,batch_size,smote_ratio,fraud_class_weight,epochs_run,validation_pr_auc,validation_roc_auc,validation_precision,validation_recall,validation_f1,validation_threshold
s1_ratio010_weight4,"[64, 32]",0.01,"[0.4, 0.3]",0.001,64,0.1,4.0,36,0.18855888418795405,0.820081009709252,0.18465227817745802,0.5539568345323741,0.27697841726618705,0.48999999999999977
s1_ratio015_weight5,"[64, 32]",0.01,"[0.4, 0.3]",0.001,64,0.15,5.0,33,0.17014254497219444,0.8100275988960441,0.18271604938271604,0.5323741007194245,0.27205882352941174,0.6399999999999997
s1_ratio020_weight5,"[64, 32]",0.01,"[0.4, 0.3]",0.001,64,0.2,5.0,42,0.20065883873910534,0.8212590920823598,0.19895287958115182,0.5467625899280576,0.29174664107485604,0.6999999999999996
s1_ratio025_weight6,"[64, 32]",0.01,"[0.4, 0.3]",0.001,64,0.25,6.0,54,0.17651513070665925,0.8053715261461484,0.16353383458646617,0.6258992805755396,0.2593144560357675,0.6499999999999997
s2_96x48,"[96, 48]",0.005,"[0.3, 0.2]",0.001,64,0.2,5.0,38,0.17846245560648272,0.8096040187169492,0.17330677290836655,0.6258992805755396,0.2714508580343214,0.5799999999999997
s2_128x64,"[128, 64]",0.005,"[0.3, 0.2]",0.001,64,0.2,5.0,58,0.20059517794637832,0.81916104650778,0.203125,0.4676258992805755,0.28322440087145967,0.6099999999999998
s2_128x64x32,"[128, 64, 32]",0.005,"[0.3, 0.2, 0.2]",0.001,64,0.2,5.0,27,0.19715522057587057,0.8140085907355072,0.16988416988416988,0.6330935251798561,0.2678843226788432,0.6699999999999997
s2_64x32_light,"[64, 32]",0.001,"[0.2, 0.2]",0.001,64,0.2,5.0,34,0.15905474094066066,0.8011952903178837,0.17464788732394365,0.4460431654676259,0.25101214574898784,0.6999999999999996
s3_lr0005_batch64,"[128, 64]",0.005,"[0.3, 0.2]",0.0005,64,0.2,5.0,27,0.16291028140534072,0.8016486534783214,0.16352201257861634,0.5611510791366906,0.2532467532467532,0.6899999999999997
s3_lr001_batch128,"[128, 64]",0.005,"[0.3, 0.2]",0.001,128,0.2,5.0,22,0.14818758458695067,0.7987663227283858,0.17233009708737865,0.5107913669064749,0.2577132486388385,0.6299999999999997
s3_lr002_batch64,"[128, 64]",0.005,"[0.3, 0.2]",0.002,64,0.2,5.0,25,0.18672818434478683,0.8106563507243882,0.1830601092896175,0.48201438848920863,0.26534653465346536,0.7499999999999997
